Index,Resolution,Oranges,Preprocess,Inference,Postprocess
6,384x640,9,2.4,256.4,1.4
7,384x640,9,2.1,328.3,0.9
8,384x640,9,2.2,419.5,1.1
9,384x640,9,4.0,413.2,2.8
10,384x640,9,2.2,330.8,1.1
11,384x640,9,6.3,526.3,1.7
12,384x640,10,4.3,525.9,1.7
13,384x640,10,3.2,495.7,2.0
14,384x640,10,6.6,884.7,11.3
15,384x640,11,5.1,991.5,2.3
16,384x640,12,3.6,562.5,2.3
17,384x640,12,5.4,694.2,2.0
18,384x640,12,2.6,548.9,1.7
19,384x640,12,3.3,728.2,2.4
20,384x640,12,3.4,600.9,2.1
21,384x640,12,3.3,588.1,2.7
22,384x640,12,3.8,573.0,2.0
23,384x640,12,3.9,680.3,2.3
24,384x640,12,4.4,624.2,10.2
25,384x640,12,6.7,614.2,3.0
26,384x640,12,4.2,611.4,1.9
27,384x640,12,3.0,536.2,1.6
28,384x640,12,3.3,537.3,1.9
29,384x640,12,4.0,571.5,1.7
30,384x640,12,3.2,628.5,2.7
31,384x640,12,3.8,516.2,1.5
32,384x640,12,5.0,516.0,2.0
33,384x640,12,5.8,586.6,1.9
34,384x640,12,4.8,613.6,1.5
35,384x640,12,3.5,520.7,1.8
36,384x640,12,5.4,565.8,3.5
37,384x640,12,4.7,614.0,1.7
38,384x640,12,3.9,580.1,2.2
39,384x640,12,4.7,569.7,1.7
40,384x640,12,2.9,580.4,1.7
41,384x640,12,5.2,597.4,2.0
42,384x640,12,3.0,493.1,1.7
43,384x640,12,6.0,525.7,1.9
44,384x640,12,3.0,578.9,2.9
45,384x640,12,5.0,558.1,3.6
46,384x640,12,3.2,593.9,1.7
47,384x640,12,4.4,1257.4,6.3
48,384x640,12,5.4,635.4,2.4
49,384x640,12,3.8,1371.9,25.7
50,384x640,12,5.1,934.6,2.4
51,384x640,12,2.7,618.9,2.5
52,384x640,12,5.2,667.6,5.6
53,384x640,12,4.4,1275.8,3.7
54,384x640,13,3.1,509.4,1.8
