Index,Average Preprocessing Latency (ms),Average Inference Latency (ms),Average Postprocessing Latency (ms),Average Total Latency (ms)
88,3.3666666666666667,692.2666666666668,2.6,698.2333333333332
89,3.1666666666666665,529.7666666666667,1.9333333333333336,534.8666666666667
90,3.1333333333333333,590.3333333333334,2.6999999999999997,596.1666666666666
91,8.0,656.0,3.4333333333333336,667.4333333333334
92,5.133333333333333,551.2333333333333,2.3000000000000003,558.6666666666666
93,7.066666666666666,595.9,2.0,604.9666666666667
94,3.8333333333333335,612.1333333333333,2.3,618.2666666666665
95,4.233333333333333,556.6,2.3666666666666667,563.1999999999999
96,5.866666666666667,588.3333333333334,1.7666666666666666,595.9666666666667
97,4.933333333333334,576.2666666666667,2.0,583.1999999999999
98,4.366666666666666,669.9666666666667,3.233333333333333,677.5666666666667
99,4.166666666666667,622.6333333333333,2.3000000000000003,629.1
100,5.400000000000001,505.06666666666666,3.766666666666667,514.2333333333333
